	gene_name	gene_id
1	BES1	AT1G19350
2	EICBP.B	AT5G09410
3	LOX1	AT1G55020
4	AT1G64300	AT1G64300
5	DPBF3	AT3G56850
6	DREB1A	AT4G25480
7	ERA1	AT5G40280
8	NCED9	AT1G78390
9	SRK2E	AT4G33950
10	AT5G25475	AT5G25475
11	AT4G33280	AT4G33280
12	AHA10	AT1G17260
13	ERF017	AT1G19210
14	DREB2D	AT1G75490
15	ERF023	AT1G01250
16	ERF054	AT4G28140
17	ERF015	AT4G31060
18	ERF019	AT1G22810
19	ERF039	AT4G16750
20	AT2G33710	AT2G33710
21	ERF013	AT1G77640
22	ERF043	AT4G32800
23	ERF034	AT2G44940
24	ABR1	AT5G64750
25	AIL6	AT5G10510
26	AIL7	AT5G65510
27	ERF011	AT3G50260
28	DREB1B	AT4G25490
29	DREB1F	AT1G12610
30	ERF010	AT5G67190
31	ERF008	AT2G23340
32	RAP2-9	AT4G06746
33	DREB2E	AT2G38340
34	ERF012	AT1G21910
35	ERF1B	AT3G23240
36	ERF104	AT5G61600
37	ERF105	AT5G51190
38	ERF11	AT1G28370
39	ERF13	AT2G44840
40	ERF15	AT2G31230
41	ERF2	AT5G47220
42	ERF4	AT3G15210
43	DREB2C	AT2G40340
44	ERF5	AT5G47230
45	ERF6	AT4G17490
46	HRE1	AT1G72360
47	ERF8	AT1G53170
48	ERF9	AT5G44210
49	ERF003	AT5G25190
50	ERF086	AT5G18560
51	RAP2-1	AT1G46768
52	ERF025	AT5G52020
53	RAP2-12	AT1G53910
54	RAP2-6	AT1G43160
55	ERF109	AT4G34410
56	ARF16	AT4G30080
57	ARF5	AT1G19850
58	ARID3	AT2G17410
59	HMGB9	AT1G76110
60	ARID6	AT1G20910
61	HMGB15	AT1G04880
62	ATG5	AT5G17290
63	AT1G01230	AT1G01230
64	AT5G42000	AT5G42000
65	RABG3B	AT1G22740
66	PIN1	AT1G73590
67	TIR1	AT3G62980
68	BPC1	AT2G01930
69	BPC5	AT4G38910
70	BMY2	AT5G45300
71	BHLH122	AT1G51140
72	AT2G42280	AT2G42280
73	BIM3	AT5G38860
74	BPE	AT1G59640
75	BHLH34	AT3G23210
76	AT2G18300	AT2G18300
77	LRL2	AT4G30980
78	BHLH74	AT1G10120
79	BHLH80	AT1G35460
80	BZR1	AT1G75080
81	BZIP44	AT1G75390
82	TGA3	AT1G22070
83	BZIP18	AT2G40620
84	TGA1	AT5G65210
85	ABI5	AT2G36270
86	ABF2	AT1G45249
87	AtbZIP52	AT1G06850
88	TGA5	AT5G06960
89	GBF3	AT2G46270
90	TGA2	AT5G06950
91	AtbZIP3	AT5G15830
92	TGA9	AT1G08320
93	TGA6	AT3G12250
94	TGA10	AT5G06839
95	BZIP68	AT1G32150
96	BEH4	AT1G78700
97	BEH3	AT4G18890
98	AT4G27900	AT4G27900
99	CDF5	AT1G69570
100	DOF1.8	AT1G64620
101	DOF5.6	AT5G62940
102	DOF5.1	AT5G02460
103	DOF3.2	AT3G45610
104	DOF1.5	AT1G29160
105	DOF2.5	AT2G46590
106	DOF2.4	AT2G37590
107	DOF3.4	AT3G50410
108	OBP3	AT3G55370
109	GATA11	AT1G08010
110	GATA12	AT5G25830
111	GATA15	AT3G06740
112	GATA16	AT5G49300
113	GATA19	AT4G36620
114	GATA24	AT3G21175
115	GATA6	AT3G51080
116	GATA28	AT1G51600
117	SAP11	AT2G41835
118	STOP2	AT5G22890
119	AT3G49930	AT3G49930
120	ZAT9	AT3G60580
121	AT1G14580	AT1G14580
122	AT2G48100	AT2G48100
123	AtIDD11	AT3G13810
124	SGR5	AT2G01940
125	GAF1	AT3G50700
126	IDD4	AT2G02080
127	JKD	AT5G03150
128	MGP	AT1G03840
129	NUC	AT5G44160
130	AT1G74370	AT1G74370
131	AT5G08750	AT5G08750
132	EMB1789	AT5G56930
133	AT5G58620	AT5G58620
134	NF-YB1	AT2G38880
135	CCA1	AT2G46830
136	AHK2	AT5G35750
137	AHP1	AT3G21510
138	CKX5	AT1G75450
